date,ndt_server,upload_throughput,download_throughput
2015-03-30T12:59:53-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,10.57,45.56
2015-03-30T13:03:35-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,9.74,48.21
2015-03-30T22:04:07-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,10.7,60.24
2015-03-30T22:04:31-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.62,42.16
2015-03-30T22:04:57-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.64,46.44
2015-03-30T22:05:21-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,10.69,50.17
2015-03-30T22:05:45-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,1.98,9.8
2015-03-31T04:06:12-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,10.7,58.98
2015-03-31T04:06:36-0400,ndt.iupui.mlab3.lga05.measurement-lab.org,10.75,42.17
2015-03-31T04:06:59-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,10.69,55.52
2015-03-31T04:07:24-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,10.65,41.3
2015-03-31T04:07:49-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.65,37.35
2015-03-31T12:08:16-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,9.37,59.13
2015-03-31T12:08:39-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,9.92,54.24
2015-03-31T12:09:05-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.07,58.03
2015-03-31T12:09:29-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,9.67,36.91
2015-03-31T12:09:52-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.11,32.27
2015-03-31T21:10:20-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,1.88,55.44
2015-03-31T21:10:45-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.25,25.23
2015-03-31T21:11:08-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,9.04,51.7
2015-03-31T21:11:32-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.51,55.73
2015-03-31T21:11:55-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,10.35,54.34
2015-04-01T05:12:23-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,10.18,55.29
2015-04-01T05:12:46-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.68,58.85
2015-04-01T05:13:10-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.19,32.78
2015-04-02T20:05:17-0400,ndt.iupui.mlab3.lga05.measurement-lab.org,10.23,45.91
2015-04-02T20:05:41-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.27,24.82
2015-04-02T20:06:05-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,10.2,63.18
2015-04-02T20:06:30-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,8.98,17.41
2015-04-02T20:06:53-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,10.02,64.46
2015-04-02T20:39:19-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.67,35.49
2015-04-02T20:39:43-0400,ndt.iupui.mlab3.lga05.measurement-lab.org,10.52,14.89
2015-04-02T20:40:06-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.63,38.45
2015-04-02T20:40:31-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.56,59.75
2015-04-02T20:40:55-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,10.68,59.51
2015-04-02T20:42:46-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,10.68,46.93
2015-04-02T20:43:09-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,10.41,45.37
2015-04-02T20:43:34-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,10.61,30.69
2015-04-02T20:43:57-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.66,22.01
2015-04-02T20:44:21-0400,ndt.iupui.mlab3.lga05.measurement-lab.org,10.62,39.08
2015-04-03T04:44:47-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,7.34,23.89
2015-04-03T04:45:11-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,8.29,31.47
2015-04-03T04:45:36-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,8.65,67.68
2015-04-03T04:46:00-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,8.43,44.46
2015-04-03T04:46:23-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,10.11,51.37
2015-04-03T11:46:50-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.1,54.55
2015-04-03T11:47:14-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,9.81,56.02
2015-04-03T11:47:39-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,9.44,22.93
2015-04-03T11:48:03-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,9.91,61.58
2015-04-03T11:48:27-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,9.5,30.27
2015-04-03T19:48:57-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.22,76.87
2015-04-03T19:49:21-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.25,43.14
2015-04-03T19:49:45-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.12,27.72
2015-04-03T19:50:09-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,10.16,75.55
2015-04-03T19:50:35-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.21,45.8
2015-04-04T02:51:03-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,10.59,31.76
2015-04-04T02:51:27-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.66,59.7
2015-04-04T02:51:51-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.67,59.66
2015-04-04T02:52:15-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.54,15.86
2015-04-04T02:52:39-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,10.7,57.73
2015-04-04T09:53:06-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,9.68,40.92
2015-04-04T09:53:30-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,10.17,33.05
2015-04-04T09:53:54-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.16,40.2
2015-04-04T09:54:19-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,9.9,19.42
2015-04-04T09:54:42-0400,ndt.iupui.mlab3.lga05.measurement-lab.org,10.04,50.5
2015-04-04T15:55:35-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,9.58,58.42
2015-04-04T15:55:59-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,8.46,24.56
2015-04-04T15:56:24-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.09,31.74
2015-04-04T15:56:47-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,9.76,49.86
2015-04-04T15:57:10-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,9.36,56.14
2015-04-04T21:57:40-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,10.52,71.42
2015-04-04T21:58:03-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,10.6,60.16
2015-04-04T21:58:29-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,10.38,57.45
2015-04-04T21:58:54-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.6,44.07
2015-04-04T21:59:18-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.59,91.32
2015-04-05T05:59:47-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.66,44.74
2015-04-05T06:00:13-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,10.57,37.49
2015-04-05T06:00:36-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,10.66,44.34
2015-04-05T06:01:00-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.54,69.46
2015-04-05T06:01:24-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,8.89,18.79
2015-04-05T16:01:52-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,9.49,65.25
2015-04-05T16:02:16-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,9.89,26.4
2015-04-05T16:02:39-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,9.58,65.3
2015-04-05T16:03:03-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.35,55.73
2015-04-05T16:03:27-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,9.88,76.38
2015-04-05T22:03:58-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.6,36.76
2015-04-05T22:04:23-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.25,13.71
2015-04-05T22:04:47-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,8.85,26.38
2015-04-05T22:05:11-0400,ndt.iupui.mlab3.lga05.measurement-lab.org,10.44,39.48
2015-04-05T22:05:35-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.33,48.26
2015-04-06T04:06:02-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,10.71,65.83
2015-04-06T04:06:26-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,10.53,21.87
2015-04-06T04:06:49-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.71,57.35
2015-04-06T04:07:13-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,10.6,24.76
